team_name,season,conference_abbreviation,conference_name,wins,losses,adj_em,adj_o,adj_d,tempo,luck,sos_adj_em,sos_off,sos_def,ncsos_adj_em,rank_adj_em,rank_adj_o,rank_adj_d,rank_tempo,rank_luck,rank_sos_adj_em,efg_off,efg_def,to_rate_off,to_rate_def,orb_rate,drb_rate,ft_rate,opp_ft_rate,source_ratings_endpoint,source_four_factors_endpoint
Charleston Southern,2026,BSth,,15,17,-6.4344,106.014,112.449,71.6376,-0.0898,-6.0563,,,,242,234,240,15,350,,,,,,,,30.5177,,ratings,four-factors
Charlotte,2026,Amer,,15,16,-2.2419,112.701,114.942,63.4708,0.01,0.4137,,,,191,113,287,347,160,,,,,,,,36.2918,,ratings,four-factors
Chattanooga,2026,SC,,13,19,-12.1871,105.604,117.791,67.2787,-0.0291,-6.6737,,,,300,244,327,189,267,,,,,,,,29.6885,,ratings,four-factors
Chicago St.,2026,NEC,,7,25,-19.6244,99.6245,119.249,65.4027,-0.032,-4.329,,,,345,333,340,292,279,,,,,,,,29.9552,,ratings,four-factors
Cincinnati,2026,B12,,17,14,17.7833,112.365,94.582,67.6317,-0.069,11.5473,,,,42,117,12,165,335,,,,,,,,29.4023,,ratings,four-factors
Clemson,2026,ACC,,22,9,18.9403,116.25,97.3099,64.2546,-0.0014,9.6187,,,,38,76,21,335,187,,,,,,,,37.3341,,ratings,four-factors
Cleveland St.,2026,Horz,,11,22,-14.6998,109.499,124.199,69.8348,0.0401,-1.7259,,,,322,167,362,61,83,,,,,,,,37.8929,,ratings,four-factors
Coastal Carolina,2026,SB,,19,13,-6.796,102.007,108.803,66.8912,0.1323,-4.5953,,,,247,304,157,212,4,,,,,,,,32.2961,,ratings,four-factors
Colgate,2026,PL,,18,15,-7.0813,107.868,114.949,66.9332,0.0436,-6.7524,,,,250,198,288,207,67,,,,,,,,29.7253,,ratings,four-factors
Colorado,2026,B12,,17,14,12.6269,119.218,106.591,68.8198,0.0343,11.1973,,,,64,55,115,106,100,,,,,,,,36.2162,,ratings,four-factors
Colorado St.,2026,MWC,,20,11,9.6882,119.97,110.281,62.8896,0.041,4.8033,,,,85,48,194,361,79,,,,,,,,40.7602,,ratings,four-factors
Columbia,2026,Ivy,,16,12,-1.9424,108.781,110.724,66.7269,0.0122,-3.128,,,,189,181,203,223,153,,,,,,,,28.5621,,ratings,four-factors
Connecticut,2026,BE,,27,4,28.2462,122.641,94.3943,64.9563,0.0519,11.9416,,,,11,28,11,311,59,,,,,,,,31.1881,,ratings,four-factors
Coppin St.,2026,MEAC,,7,24,-27.6238,92.2908,119.915,68.0734,0.0368,-7.2935,,,,363,361,346,137,95,,,,,,,,38.4522,,ratings,four-factors
Cornell,2026,Ivy,,15,12,0.9659,119.746,118.78,71.6351,-0.026,-1.4843,,,,158,50,336,16,258,,,,,,,,31.0908,,ratings,four-factors
Creighton,2026,BE,,15,16,11.3582,116.91,105.552,67.4601,-0.0216,11.7989,,,,75,68,100,179,244,,,,,,,,27.4167,,ratings,four-factors
Dartmouth,2026,Ivy,,11,16,-9.3245,104.971,114.296,69.5492,0.0001,-1.9286,,,,274,257,275,70,183,,,,,,,,37.9957,,ratings,four-factors
Davidson,2026,A10,,19,12,5.9301,110.691,104.761,63.8595,0.0293,2.6184,,,,107,148,89,342,111,,,,,,,,32.0473,,ratings,four-factors
Dayton,2026,A10,,21,10,10.661,111.383,100.722,67.1371,0.0337,4.0891,,,,79,133,36,196,102,,,,,,,,47.1721,,ratings,four-factors
DePaul,2026,BE,,16,15,6.9751,107.773,100.798,66.3823,-0.0045,8.0043,,,,102,200,38,240,195,,,,,,,,35.7835,,ratings,four-factors
Delaware,2026,CUSA,,10,21,-11.3627,104.582,115.945,63.1939,0.0065,-2.5434,,,,292,260,301,355,169,,,,,,,,30.6162,,ratings,four-factors
Delaware St.,2026,MEAC,,7,22,-27.4848,87.8146,115.299,65.8505,-0.0239,-10.3606,,,,362,365,296,270,253,,,,,,,,34.0426,,ratings,four-factors
Denver,2026,Sum,,15,17,-5.9272,116.207,122.134,67.968,0.0074,-1.3016,,,,236,77,358,142,168,,,,,,,,34.117,,ratings,four-factors
Detroit Mercy,2026,Horz,,16,14,-4.8238,108.85,113.674,69.0108,0.0732,-2.3807,,,,222,179,261,99,31,,,,,,,,32.4214,,ratings,four-factors
Drake,2026,MVC,,14,20,-2.6021,110.182,112.784,67.305,-0.0604,2.4022,,,,194,158,247,186,324,,,,,,,,33.5297,,ratings,four-factors
Drexel,2026,CAA,,17,16,-4.6673,102.582,107.25,64.2656,0.0028,-4.0607,,,,221,295,126,334,174,,,,,,,,31.573,,ratings,four-factors
Duke,2026,ACC,,29,2,40.6153,128.431,87.8156,65.3863,0.0303,14.1235,,,,1,5,1,294,110,,,,,,,,37.9081,,ratings,four-factors
Duquesne,2026,A10,,17,14,2.9085,110.652,107.743,69.1554,-0.0106,2.3533,,,,133,149,135,88,217,,,,,,,,38.8033,,ratings,four-factors
East Carolina,2026,Amer,,11,20,-7.3932,103.76,111.153,68.733,-0.0056,-0.1913,,,,255,278,212,109,201,,,,,,,,39.1597,,ratings,four-factors
East Tennessee St.,2026,SC,,23,10,1.4745,110.351,108.876,66.24,-0.023,-7.9099,,,,147,155,162,248,249,,,,,,,,34.9342,,ratings,four-factors
East Texas A&M,2026,Slnd,,11,21,-10.8265,100.871,111.697,68.175,0.0006,-0.5149,,,,286,317,219,133,181,,,,,,,,32.0191,,ratings,four-factors
Eastern Illinois,2026,OVC,,13,20,-14.8644,97.0745,111.939,65.7261,0.0368,-5.7739,,,,324,347,229,273,97,,,,,,,,33.5135,,ratings,four-factors
Eastern Kentucky,2026,ASun,,11,21,-11.6301,109.397,121.027,67.3684,-0.0169,-3.7067,,,,296,170,350,183,230,,,,,,,,30.7399,,ratings,four-factors
Eastern Michigan,2026,MAC,,10,21,-6.4219,101.951,108.373,66.5505,-0.0963,-0.274,,,,241,305,149,227,355,,,,,,,,29.341,,ratings,four-factors
Elon,2026,CAA,,14,18,-5.6666,110.338,116.005,66.8727,-0.0301,-2.0329,,,,231,156,303,213,275,,,,,,,,33.5376,,ratings,four-factors
Evansville,2026,MVC,,7,25,-12.8351,102.122,114.957,67.0548,-0.0114,4.8567,,,,307,302,289,199,220,,,,,,,,29.7561,,ratings,four-factors
FIU,2026,CUSA,,15,16,-1.9481,107.68,109.628,71.8243,-0.0393,-0.935,,,,190,202,180,12,296,,,,,,,,38.2542,,ratings,four-factors
Fairfield,2026,MAAC,,21,13,-8.1918,105.915,114.106,67.034,0.0778,-9.4109,,,,264,236,269,201,27,,,,,,,,27.6751,,ratings,four-factors
Fairleigh Dickinson,2026,NEC,,11,21,-17.6694,101.014,118.684,63.96,-0.0061,-8.2849,,,,336,313,334,339,204,,,,,,,,32.795,,ratings,four-factors
Florida,2026,SEC,,25,6,35.346,126.472,91.1258,70.9258,-0.051,15.6113,,,,4,8,4,24,313,,,,,,,,38.5266,,ratings,four-factors
Florida A&M,2026,SWAC,,14,15,-13.4096,98.5926,112.002,68.2019,0.0807,-8.1241,,,,315,340,230,132,25,,,,,,,,37.5989,,ratings,four-factors
Florida Atlantic,2026,Amer,,17,14,3.464,110.482,107.018,69.6162,-0.0342,2.2864,,,,125,152,123,68,286,,,,,,,,32.6185,,ratings,four-factors
Florida Gulf Coast,2026,ASun,,16,18,-6.5996,105.745,112.344,67.6081,-0.0291,-5.5555,,,,243,238,237,167,266,,,,,,,,29.052,,ratings,four-factors
Florida St.,2026,ACC,,17,14,12.4984,116.947,104.449,70.5524,-0.0014,10.7335,,,,65,67,81,31,188,,,,,,,,34.832,,ratings,four-factors
Fordham,2026,A10,,17,14,0.3506,105.037,104.686,64.4905,-0.0439,-2.3692,,,,168,255,85,326,301,,,,,,,,26.2485,,ratings,four-factors
Fresno St.,2026,MWC,,13,18,3.173,107.874,104.701,68.3111,-0.0689,5.018,,,,131,197,86,128,334,,,,,,,,34.3805,,ratings,four-factors
Furman,2026,SC,,21,12,-2.8807,107.121,110.002,66.051,0.0112,-6.0997,,,,199,217,191,255,154,,,,,,,,32.2222,,ratings,four-factors
Gardner Webb,2026,BSth,,4,29,-26.3415,95.7975,122.139,69.2702,-0.0014,-0.8618,,,,361,353,359,81,189,,,,,,,,30.2871,,ratings,four-factors
George Mason,2026,A10,,23,8,8.0346,114.1,106.065,63.4385,0.0674,0.5784,,,,94,100,107,348,36,,,,,,,,42.2264,,ratings,four-factors
George Washington,2026,A10,,17,14,9.7578,118.124,108.367,69.1907,-0.1476,1.2919,,,,83,58,148,87,365,,,,,,,,35.6081,,ratings,four-factors
Georgetown,2026,BE,,14,17,9.6553,114.905,105.249,66.4636,-0.0657,9.996,,,,87,89,94,234,329,,,,,,,,37.9978,,ratings,four-factors
Georgia,2026,SEC,,22,9,21.0563,125.802,104.745,71.3029,0.0105,11.0149,,,,31,12,87,20,157,,,,,,,,36.9276,,ratings,four-factors
Georgia Southern,2026,SB,,21,15,-5.5289,110.861,116.39,70.294,0.0554,-5.7306,,,,230,143,311,35,55,,,,,,,,39.8354,,ratings,four-factors
Georgia St.,2026,SB,,10,22,-12.9361,99.48,112.416,67.8945,-0.0396,-3.6847,,,,310,336,238,148,298,,,,,,,,37.1707,,ratings,four-factors
Georgia Tech,2026,ACC,,11,20,0.6507,108.083,107.432,70.7345,-0.0394,6.6391,,,,164,193,131,26,297,,,,,,,,33.3153,,ratings,four-factors
Gonzaga,2026,WCC,,28,3,28.4133,122.485,94.0722,69.1951,0.067,5.9928,,,,10,29,9,86,37,,,,,,,,30.9668,,ratings,four-factors
Grambling St.,2026,SWAC,,13,18,-11.9287,97.2269,109.156,67.6133,-0.0305,-7.9031,,,,298,345,167,166,276,,,,,,,,41.0077,,ratings,four-factors
Grand Canyon,2026,MWC,,20,11,13.5453,110.701,97.1555,67.9244,-0.0556,3.8098,,,,60,147,18,147,317,,,,,,,,38.2486,,ratings,four-factors
Green Bay,2026,Horz,,18,15,-3.4599,112.739,116.199,62.9816,0.0643,-1.7618,,,,209,112,307,360,40,,,,,,,,41.5995,,ratings,four-factors
Hampton,2026,CAA,,13,19,-9.1517,102.683,111.835,65.4054,-0.0132,-3.4176,,,,272,294,227,291,224,,,,,,,,39.2249,,ratings,four-factors
Harvard,2026,Ivy,,17,11,1.2806,107.643,106.362,63.1126,0.0023,-3.32,,,,149,203,113,357,175,,,,,,,,26.6621,,ratings,four-factors
Hawaii,2026,BW,,22,8,5.0389,107.214,102.175,69.8661,0.0284,-3.5602,,,,115,213,48,59,114,,,,,,,,43.2366,,ratings,four-factors
High Point,2026,BSth,,30,4,8.4424,117.312,108.869,70.002,0.0479,-8.8707,,,,93,63,160,52,60,,,,,,,,42.9099,,ratings,four-factors
Hofstra,2026,CAA,,22,10,9.7232,114.765,105.041,64.9285,-0.0711,-0.6105,,,,84,91,93,312,337,,,,,,,,32.5129,,ratings,four-factors
Holy Cross,2026,PL,,11,22,-16.5231,100.926,117.449,65.6166,-0.007,-6.8362,,,,330,315,322,276,208,,,,,,,,31.4891,,ratings,four-factors
Houston,2026,B12,,26,5,32.4932,125.05,92.5563,63.3731,0.002,12.3461,,,,6,17,6,351,176,,,,,,,,26.6251,,ratings,four-factors
Houston Christian,2026,Slnd,,12,20,-11.1076,103.059,114.166,64.3898,0.0344,-2.0694,,,,289,287,273,330,99,,,,,,,,35.9825,,ratings,four-factors
Howard,2026,MEAC,,21,10,-3.0722,103.802,106.875,69.1389,-0.0229,-13.5592,,,,202,276,120,89,247,,,,,,,,42.3963,,ratings,four-factors
IU Indy,2026,Horz,,7,25,-13.8568,105.657,119.514,73.3078,-0.0334,-3.1114,,,,318,242,342,3,283,,,,,,,,21.6724,,ratings,four-factors
Illinois,2026,B10,,24,7,32.6706,131.683,99.0127,65.538,-0.035,13.508,,,,5,1,26,284,288,,,,,,,,33.3333,,ratings,four-factors
Illinois Chicago,2026,MVC,,19,15,6.1393,110.649,104.51,66.4184,-0.061,1.8786,,,,105,150,84,238,326,,,,,,,,36.47,,ratings,four-factors
Illinois St.,2026,MVC,,20,12,6.6041,110.714,104.11,66.7464,-0.0086,1.6087,,,,103,146,76,220,213,,,,,,,,31.836,,ratings,four-factors
Incarnate Word,2026,Slnd,,12,19,-8.4573,109.009,117.466,65.5028,-0.0281,-1.1642,,,,266,177,323,288,264,,,,,,,,34.0076,,ratings,four-factors
Indiana,2026,B10,,18,13,18.1219,121.121,102.999,66.2483,-0.0349,11.9802,,,,41,39,59,247,287,,,,,,,,34.611,,ratings,four-factors
Indiana St.,2026,MVC,,11,21,-2.9285,106.442,109.37,68.0793,-0.1097,1.5086,,,,200,225,173,136,363,,,,,,,,27.4566,,ratings,four-factors
Iona,2026,MAAC,,18,14,-7.7474,104.062,111.81,68.8125,0.0411,-8.3886,,,,259,271,226,107,78,,,,,,,,29.2786,,ratings,four-factors
Iowa,2026,B10,,20,11,22.5373,121.857,99.3199,63.052,-0.0552,11.3571,,,,24,32,28,358,316,,,,,,,,34.1667,,ratings,four-factors
Iowa St.,2026,B12,,25,6,29.9581,122.901,92.9424,66.7758,0.0056,11.4809,,,,7,26,7,218,170,,,,,,,,34.8737,,ratings,four-factors
Jackson St.,2026,SWAC,,11,20,-19.1951,100.846,120.041,69.4718,0.0968,-5.6373,,,,342,318,347,72,16,,,,,,,,37.0675,,ratings,four-factors
Jacksonville,2026,ASun,,12,20,-11.453,103.259,114.712,63.4314,-0.0295,-3.7333,,,,294,284,283,349,272,,,,,,,,32.7596,,ratings,four-factors
Jacksonville St.,2026,CUSA,,15,16,-3.1446,105.701,108.846,65.4325,-0.0498,-2.6875,,,,204,241,159,289,309,,,,,,,,43.1475,,ratings,four-factors
James Madison,2026,SB,,18,15,-3.8855,109.333,113.219,66.0395,0.0173,-4.5502,,,,212,172,252,257,138,,,,,,,,35.9384,,ratings,four-factors
Kansas,2026,B12,,22,9,25.3861,119.459,94.073,67.5821,0.038,16.6563,,,,19,53,10,172,91,,,,,,,,31.6421,,ratings,four-factors
Kansas City,2026,Sum,,4,27,-25.089,92.2915,117.38,69.8751,-0.0174,-1.277,,,,358,360,320,58,231,,,,,,,,29.179,,ratings,four-factors
Kansas St.,2026,B12,,12,19,7.1873,113.06,105.873,72.6199,-0.0688,13.049,,,,101,110,105,7,333,,,,,,,,26.6429,,ratings,four-factors
Kennesaw St.,2026,CUSA,,18,13,-0.9863,109.884,110.87,71.4378,-0.0087,-2.2833,,,,178,162,206,19,214,,,,,,,,44.2037,,ratings,four-factors
Kent St.,2026,MAC,,23,8,1.0763,112.113,111.036,70.4913,0.1506,-2.787,,,,154,121,210,33,3,,,,,,,,44.5268,,ratings,four-factors
Kentucky,2026,SEC,,19,12,21.4456,121.278,99.8323,68.0892,-0.0287,15.7092,,,,27,38,31,135,265,,,,,,,,37.52,,ratings,four-factors
LIU,2026,NEC,,23,10,-4.0762,105.52,109.596,67.8378,0.1016,-9.4801,,,,217,248,178,152,15,,,,,,,,34.1451,,ratings,four-factors
LSU,2026,SEC,,15,16,13.21,119.551,106.341,66.5245,-0.082,10.8206,,,,62,52,112,230,345,,,,,,,,41.2276,,ratings,four-factors
La Salle,2026,A10,,9,22,-5.1941,105.568,110.762,65.5735,-0.0295,5.6157,,,,225,245,205,280,271,,,,,,,,37.4335,,ratings,four-factors
Lafayette,2026,PL,,11,21,-15.2575,100.895,116.152,66.8163,0.0091,-7.352,,,,326,316,306,215,164,,,,,,,,32.4309,,ratings,four-factors
Lamar,2026,Slnd,,12,19,-6.288,103.27,109.558,65.6108,-0.0892,-2.419,,,,239,283,176,277,349,,,,,,,,27.9489,,ratings,four-factors
Le Moyne,2026,NEC,,15,17,-11.8831,102.201,114.084,69.6102,-0.0183,-10.3942,,,,297,301,268,69,234,,,,,,,,39.4517,,ratings,four-factors
Lehigh,2026,PL,,17,16,-11.2313,102.691,113.923,67.0516,0.0883,-8.1454,,,,290,293,267,200,19,,,,,,,,31.8076,,ratings,four-factors
Liberty,2026,CUSA,,25,6,4.6481,118.269,113.621,63.9169,0.1573,-1.4671,,,,116,57,260,341,2,,,,,,,,32.0187,,ratings,four-factors
Lindenwood,2026,OVC,,18,15,-8.4697,100.712,109.182,72.4379,0.0171,-8.5306,,,,267,320,169,8,139,,,,,,,,38.5792,,ratings,four-factors
Lipscomb,2026,ASun,,19,13,-2.7849,107.127,109.912,69.3911,0.0436,-4.8651,,,,197,215,187,76,68,,,,,,,,26.0417,,ratings,four-factors
Little Rock,2026,OVC,,12,20,-12.9202,102.981,115.901,66.7333,-0.0327,-6.1036,,,,309,289,300,222,280,,,,,,,,27.7493,,ratings,four-factors
Long Beach St.,2026,BW,,10,22,-5.8772,105.631,111.508,68.6363,-0.0297,1.2006,,,,234,243,215,115,273,,,,,,,,30.7087,,ratings,four-factors
Longwood,2026,BSth,,16,16,-9.1208,103.68,112.801,68.476,-0.0355,-8.0869,,,,271,279,248,121,291,,,,,,,,41.3467,,ratings,four-factors
Louisiana,2026,SB,,11,22,-13.3021,100.292,113.594,63.3063,0.0328,-4.2322,,,,313,322,259,353,105,,,,,,,,28.7193,,ratings,four-factors
Louisiana Monroe,2026,SB,,4,28,-21.046,101.373,122.419,70.2044,-0.0988,-3.414,,,,350,309,360,40,358,,,,,,,,38.7802,,ratings,four-factors
Louisiana Tech,2026,CUSA,,18,13,-3.3207,102.07,105.391,64.5626,0.0404,-2.9601,,,,208,303,95,325,82,,,,,,,,33.4575,,ratings,four-factors
Louisville,2026,ACC,,22,9,26.1211,125.702,99.5812,70.1652,-0.0165,12.3508,,,,16,14,30,44,229,,,,,,,,33.4557,,ratings,four-factors
Loyola Chicago,2026,A10,,8,23,-11.4305,103.277,114.707,65.8086,0.0623,3.1264,,,,293,282,282,271,45,,,,,,,,34.5562,,ratings,four-factors
Loyola MD,2026,PL,,12,20,-14.8582,104.38,119.238,68.2514,-0.0275,-8.9867,,,,323,266,339,129,262,,,,,,,,29.8673,,ratings,four-factors
Loyola Marymount,2026,WCC,,15,17,0.7706,106.722,105.951,66.9838,-0.0446,0.9805,,,,161,221,106,204,304,,,,,,,,31.0576,,ratings,four-factors
Maine,2026,AE,,8,24,-20.3085,91.7262,112.035,64.8078,-0.0308,-8.8623,,,,347,363,231,319,277,,,,,,,,38.3812,,ratings,four-factors
Manhattan,2026,MAAC,,12,20,-16.5164,104.574,121.091,67.9319,0.0533,-7.9439,,,,329,261,351,146,57,,,,,,,,34.0449,,ratings,four-factors
Marist,2026,MAAC,,19,12,-3.0896,99.676,102.766,66.4208,-0.0272,-8.6372,,,,203,332,55,237,261,,,,,,,,25.6749,,ratings,four-factors
Marquette,2026,BE,,12,19,9.6653,111.799,102.134,68.6989,-0.1004,11.2569,,,,86,130,46,110,360,,,,,,,,33.0144,,ratings,four-factors
Marshall,2026,SB,,19,13,-3.1497,112.305,115.455,69.3594,0.0338,-3.8746,,,,205,119,298,78,101,,,,,,,,29.2324,,ratings,four-factors
Maryland,2026,B10,,11,20,3.363,111.2,107.837,66.1103,0.014,14.9565,,,,128,137,138,252,147,,,,,,,,36.4047,,ratings,four-factors
Maryland Eastern Shore,2026,MEAC,,9,22,-20.3839,94.6359,115.02,63.1292,-0.0456,-8.3844,,,,348,358,290,356,306,,,,,,,,28.9406,,ratings,four-factors
Massachusetts,2026,MAC,,16,15,-2.9492,108.792,111.741,70.1063,-0.0569,-4.0673,,,,201,180,222,48,319,,,,,,,,37.5069,,ratings,four-factors
McNeese,2026,Slnd,,26,5,12.1474,114.978,102.83,66.3047,0.0794,-1.7335,,,,68,86,56,243,26,,,,,,,,38.843,,ratings,four-factors
Memphis,2026,Amer,,13,18,3.2815,107.638,104.356,70.2081,-0.0495,6.0058,,,,130,204,79,39,308,,,,,,,,34.2782,,ratings,four-factors
Mercer,2026,SC,,19,13,-1.9088,112.013,113.922,68.9886,-0.0206,-5.0094,,,,188,124,266,103,241,,,,,,,,39.1759,,ratings,four-factors
Mercyhurst,2026,NEC,,17,16,-10.5627,101.202,111.765,64.8144,-0.0062,-11.0115,,,,284,310,223,318,205,,,,,,,,25.7525,,ratings,four-factors
Merrimack,2026,MAAC,,23,10,-0.2123,107.572,107.785,63.4124,0.1256,-5.5777,,,,174,206,137,350,6,,,,,,,,38.6803,,ratings,four-factors
